Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:72STRbMtY5ypgxtEJ5v6OU,"Soul Burn","Soul Burn","Neon Graves",2022-11-18,227098,26,false,21rrrptu6n3eywblqb6xp5xuy,2025-07-01T11:31:14Z,"metalcore,djent,deathcore","Neon Graves",0.362,0.922,4,-6.3,0,0.132,0.0000496,0.0101,0.123,0.298,113.966,4
spotify:track:4p1M3ZdZ9q1uixBk7JibRw,"Static","Static","Our Promise",2025-06-20,211068,54,false,21rrrptu6n3eywblqb6xp5xuy,2025-06-26T12:36:19Z,"metalcore","Our Promise",0.536,0.969,11,-4.051,0,0.0736,0.000132,0.00000388,0.34,0.209,115.037,4
spotify:track:1Chjeu7itQhIgeL1HpVDuN,"Antimatter","SUPERBLOOM","Silent Planet",2023-11-03,221340,59,false,21rrrptu6n3eywblqb6xp5xuy,2025-06-11T12:53:29Z,"metalcore,djent,deathcore,post-hardcore,metal","Solid State Records",0.523,0.803,2,-6.363,1,0.0583,0.000689,0.00354,0.165,0.137,139.949,4
spotify:track:5NRpxJxtR6JkUhQS4F0um6,"Emergence","Emergence","Sleep Token",2025-03-13,386253,74,false,21rrrptu6n3eywblqb6xp5xuy,2025-03-15T14:05:16Z,"progressive metal,metalcore","Sleep Token/RCA Records",0.517,0.584,4,-6.729,0,0.035,0.0225,0.0000757,0.0826,0.162,126.106,4
spotify:track:44TUJhvq8ZSoIO1AzpD6X7,"Broken Mirror","The Sky The Earth & All Between","Architects",2025-02-28,190566,59,false,21rrrptu6n3eywblqb6xp5xuy,2025-04-25T22:45:50Z,"metalcore,djent,mathcore,metal,post-hardcore,deathcore","Epitaph",0.393,0.883,7,-3.433,0,0.103,0.00312,0,0.111,0.229,164.798,4
spotify:track:4jVxw1PPpXYVtmZp6UQwmE,"All For Nothing","All For Nothing","NOVELISTS",2025-01-30,248040,43,false,21rrrptu6n3eywblqb6xp5xuy,2025-04-25T22:06:25Z,"djent,metalcore,progressive metal,post-hardcore,metal","ACKOR Music",0.382,0.872,1,-7.802,0,0.102,0.00299,0.0216,0.129,0.104,174.954,4
spotify:track:6DLaYITCfzaNEAj0ZyGRad,"Curse","The Sky The Earth & All Between","Architects",2025-02-28,181134,69,false,21rrrptu6n3eywblqb6xp5xuy,2025-04-25T22:48:01Z,"metalcore,djent,mathcore,metal,post-hardcore,deathcore","Epitaph",0.584,0.957,5,-3.164,0,0.105,0.0000101,0.0000335,0.101,0.527,120.001,4
spotify:track:6oEJYNa9iKnwL62PV85KCd,"No Reverse","No Reverse","Nevertel",2019-10-31,167412,1,true,21rrrptu6n3eywblqb6xp5xuy,2024-08-07T16:45:18Z,"","1089128 Records DK2",0.406,0.908,8,-5.884,0,0.126,0.00244,0,0.152,0.321,142.886,4
spotify:track:6tXqByNxqYPuWBeZZG4DVq,"Equivalent Exchange","Equivalent Exchange","Clayton King",2023-07-21,254908,42,false,21rrrptu6n3eywblqb6xp5xuy,2023-10-18T17:51:32Z,"djent","Clayton King",0.373,0.925,1,-4.853,1,0.0696,0.0000668,0.944,0.113,0.17,165.015,4
spotify:track:0u8wRzaAaJkqpqrTYNn3bZ,"The Other Side","The Other Side","Memphis May Fire",2025-02-19,225871,55,false,21rrrptu6n3eywblqb6xp5xuy,2025-04-25T22:13:09Z,"metalcore,post-hardcore,screamo","Rise Records",0.398,0.818,8,-5.874,0,0.159,0.00549,0,0.153,0.279,152.019,4
